legacySku,newSku,zh_name,en_name_TODO,zh_desc,en_desc_TODO
1000106328657,ER-S001,珍珠四叶草镶钻耳钉,Pearl Clover Stud Earrings,银色四叶花瓣轻拢一颗珍珠，细密纹路里透着复古温柔，小巧精致刚刚好，日常戴上带着甜甜的少女气息。,"Four silver clover petals cradle a single pearl, with delicate engraved lines for a soft vintage feel. Petite and refined for everyday wear."
1000156846812,ER-S002,可爱珍珠小熊镶钻耳钉,Pearl Bear Crystal Studs,珍珠白小熊俏皮抱着一颗碎钻，圆滚滚的耳朵和小爪子讨喜可爱，戴上耳畔像揣着童话，甜酷出街心动加倍。,"A pearl-white teddy bear holds a tiny crystal, with round ears and small paws. Playful charm for daily styling."
1000428188454,ER-S003,珍珠锆石扇形耳钉,Pearl Zircon Fan Studs,金色波浪花边像贝壳轻展，珍珠静静卧在中央，碎钻沿着弧边闪烁，温润又灵动，下午茶时分气质柔美上线。,"Gold scalloped fan edges open like a shell, with a pearl at the center and zircons sparkling along the curve."
1000428880627,ER-S004,珍珠花钻耳钉,Pearl Floral Crystal Studs,饱满珍珠被一圈碎钻花边温柔环抱，像云朵托着月光，甜美闪耀又不张扬，闺蜜聚会戴上瞬间气质柔美。,"A round pearl encircled by a delicate ring of zircons, evoking a soft glow. Subtle sparkle suited for any occasion."
1001035820197,ER-S005,珍珠锆石花瓣耳钉,Pearl Petal Zircon Studs,金色花形托爪稳稳抱住一颗大颗白锆石，光线流转折射出柔亮星芒，简洁优雅，通勤约会都闪着精致小心思。,"Gold floral prongs hold a large round white zircon, refracting soft light. Clean lines for office or evening wear."
1001687304545,ER-S006,金色白贝母蝴蝶耳钉,Gold Mother-of-Pearl Butterfly Studs,金色蝴蝶展翅，半边白贝母温润柔光，半边金羽镶碎钻闪耀，水滴钻点睛灵动俏皮，戴上耳畔仿佛振翅欲飞。,"Gold butterflies in mid-flight: one wing in soft mother-of-pearl, the other in zircon-set gold. Teardrop accents add motion."
1003928507972,ER-S007,摇摆木马锆石耳钉,Carousel Horse Zircon Studs,"糖果绿小马轻盈跃然，金色 pave 鞍底俏皮闪光，复古童趣感扑面而来，戴上耳畔像把童年木马藏进梦里。 [备注: 图中有2款颜色(金色/银色),共4件]",Mint-green ponies with pavé-set gold saddles. Vintage carnival charm in two finishes — gold and silver.
1003950671900,ER-S008,桃子水滴锆石耳钉,Peach Drop Zircon Studs,银色花苞托着水滴锆石含苞欲放，绿色珐琅嫩叶俏皮探出，像刚冒尖的春日小花，戴上耳畔甜美灵动满分。,"Silver buds support teardrop zircons, with green enamel leaves peeking out. Fresh, spring-inspired studs."
1003950671954,ER-S009,粉白花朵珍珠锆石耳钉,Pink-White Floral Pearl Zircon Studs,粉珍珠与白珍珠花瓣交织，中心一颗椭圆锆石透亮闪光，像一束刚摘下的甜糖花，少女约会戴上心动满格。,Pink and white pearl petals interlace around a central oval zircon. Like a fresh-picked spring blossom.
1003967719637,ER-S010,花朵珍珠锆石耳钉,Floral Pearl Zircon Studs,金银小花拼缀珍珠与彩钻，粉钻方块温柔点睛，玫红碎钻俏皮跳动，像把糖果花田摘进耳畔，甜酷少女感拉满。 [备注: 图示为两种颜色（金色/银色）的耳钉，实际为两对。],Mini gold and silver florals set with pearls and coloured stones — pink square accents with magenta sparkle.
